molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL93558,N[C@@H](CC1CCCCC1)C(=O)N1CCCCC1,217000.0,inactive
CHEMBL443622,C[C@H](N)C(=O)N1CCCC1,41000.0,inactive
CHEMBL403882,O=C([C@@H]1CCCN1)N1CCCC1,15000.0,inactive
CHEMBL328655,S=C(C1CCCN1)N1CCCC1,500000.0,inactive
CHEMBL328795,NC(=O)CC(N)C(=O)N1CCCC1,188000.0,inactive
CHEMBL97674,NCCCCC(N)C(=O)N1CCCCC1,247000.0,inactive
CHEMBL317126,NC(Cc1ccc(O)cc1)C(=O)N1CCCC1,14000.0,inactive
CHEMBL383705,CC(C)[C@H](N)C(=O)N1CCCC1,4000.0,intermediate
CHEMBL93505,NCC[C@H](N)C(=O)N1CCCCC1,1000000.0,inactive
CHEMBL329171,NCCCC(N)C(=O)N1CCCCC1,500000.0,inactive
CHEMBL94955,NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCCCC1,134900.0,inactive
CHEMBL97180,NC(Cc1c[nH]cn1)C(=O)N1CCCCC1,213000.0,inactive
CHEMBL98008,N[C@@H](CC1CCCCC1)C(=O)N1CCCC1,17000.0,inactive
CHEMBL97025,NCC(=O)N1CCCC1,1000000.0,inactive
CHEMBL317944,NC(Cc1c[nH]cn1)C(=O)N1CCCC1,23210.0,inactive
CHEMBL93507,CCC(C)C(N)C(=O)N1CCCCC1,67000.0,inactive
CHEMBL93931,NC(Cc1ccccc1)C(=O)N1CCCC1,21000.0,inactive
CHEMBL97064,NC(CO)C(=O)N1CCCC1,190000.0,inactive
CHEMBL503274,CC[C@H](C)[C@H](N)C(=O)N1CCCC1,4000.0,intermediate
CHEMBL499101,N[C@@H](CC(=O)O)C(=O)N1CCCC1,122000.0,inactive
CHEMBL328694,NCCCCC(N)C(=O)N1CCCC1,39000.0,inactive
CHEMBL317537,NC[C@H](N)C(=O)N1CCCCC1,1000000.0,inactive
CHEMBL305170,CC(C)[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,116000.0,inactive
CHEMBL1790478,C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,190.0,active
CHEMBL66032,CC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,11.0,active
CHEMBL63726,NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,95.0,active
CHEMBL303131,N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1B(O)O,17000.0,inactive
CHEMBL292342,O=C([C@@H]1CCN1)N1CCC[C@H]1B(O)O,250.0,active
CHEMBL63698,CC(C)C[C@H](N)C(=O)N1CCC[C@H]1B(O)O,44.0,active
CHEMBL291428,N[C@H](C(=O)N1CCC[C@H]1B(O)O)c1ccccc1,63.0,active
CHEMBL66189,CC(C)(N)C(=O)N1CCC[C@H]1B(O)O,30000.0,inactive
CHEMBL1790483,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,25.0,active
